metric,value
schema_version,1
generated_utc,2026-07-24T03:43:37.146349+00:00
benchmark_kind,full
environment.platform,Windows-11-10.0.26200-SP0
environment.processor,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel"
environment.python,3.13.7
environment.opencv,5.0.0
environment.numpy,2.4.3
environment.opencv_threads,1
environment.cpu_count,22
method.input,32 distinct 320x240 deterministic 8-bit patterns
method.output,318x238 cropped saturating abs(Gx)+abs(Gy)
method.warmup,20
method.samples_per_run,1000
method.independent_runs,5
method.fpga_parallel_lanes,32
method.partial_batch_accounting,all executed lane work is charged to requested frames
method.fpga_evidence,routed RTL projection; physical measurement pending
method.separation,"core, CPU kernel, transport, and live FPS are distinct"
opencv_runs[0].run,1
opencv_runs[0].samples,1000
opencv_runs[0].mean_ms,0.09095990000000001
opencv_runs[0].median_ms,0.07776875
opencv_runs[0].p95_ms,0.157596875
opencv_runs[0].min_ms,0.068578125
opencv_runs[0].max_ms,0.16894375
opencv_runs[0].stdev_ms,0.02813726313965166
opencv_runs[0].mean_fps,10993.855534141967
opencv_runs[0].output_crc32,2656445203
opencv_runs[1].run,2
opencv_runs[1].samples,1000
opencv_runs[1].mean_ms,0.07982389999999999
opencv_runs[1].median_ms,0.069921875
opencv_runs[1].p95_ms,0.15918125
opencv_runs[1].min_ms,0.06675625
opencv_runs[1].max_ms,0.168075
opencv_runs[1].stdev_ms,0.023823659649652905
opencv_runs[1].mean_fps,12527.57632739067
opencv_runs[1].output_crc32,2656445203
opencv_runs[2].run,3
opencv_runs[2].samples,1000
opencv_runs[2].mean_ms,0.0819003
opencv_runs[2].median_ms,0.069671875
opencv_runs[2].p95_ms,0.14491875
opencv_runs[2].min_ms,0.067259375
opencv_runs[2].max_ms,0.20588125
opencv_runs[2].stdev_ms,0.02821149408215559
opencv_runs[2].mean_fps,12209.967484856588
opencv_runs[2].output_crc32,2656445203
opencv_runs[3].run,4
opencv_runs[3].samples,1000
opencv_runs[3].mean_ms,0.0890708
opencv_runs[3].median_ms,0.07176875
opencv_runs[3].p95_ms,0.18546875
opencv_runs[3].min_ms,0.065596875
opencv_runs[3].max_ms,0.189890625
opencv_runs[3].stdev_ms,0.035761610210671445
opencv_runs[3].mean_fps,11227.023895597658
opencv_runs[3].output_crc32,2656445203
opencv_runs[4].run,5
opencv_runs[4].samples,1000
opencv_runs[4].mean_ms,0.0856055
opencv_runs[4].median_ms,0.070253125
opencv_runs[4].p95_ms,0.1522
opencv_runs[4].min_ms,0.062415625
opencv_runs[4].max_ms,0.152746875
opencv_runs[4].stdev_ms,0.029259028938731033
opencv_runs[4].mean_fps,11681.492427472534
opencv_runs[4].output_crc32,2656445203
fpga_compute_runs[0].run,1
fpga_compute_runs[0].frames,1000
fpga_compute_runs[0].measurement,routed_rtl_projection
fpga_compute_runs[0].core_clock_hz,200000000
fpga_compute_runs[0].frame_interval_cycles,2400
fpga_compute_runs[0].effective_frame_interval_cycles,2457.6
fpga_compute_runs[0].sustained_frame_ms,0.012288
fpga_compute_runs[0].sustained_fps,81380.20833333333
fpga_compute_runs[0].output_crc32,2656445203
fpga_compute_runs[1].run,2
fpga_compute_runs[1].frames,1000
fpga_compute_runs[1].measurement,routed_rtl_projection
fpga_compute_runs[1].core_clock_hz,200000000
fpga_compute_runs[1].frame_interval_cycles,2400
fpga_compute_runs[1].effective_frame_interval_cycles,2457.6
fpga_compute_runs[1].sustained_frame_ms,0.012288
fpga_compute_runs[1].sustained_fps,81380.20833333333
fpga_compute_runs[1].output_crc32,2656445203
fpga_compute_runs[2].run,3
fpga_compute_runs[2].frames,1000
fpga_compute_runs[2].measurement,routed_rtl_projection
fpga_compute_runs[2].core_clock_hz,200000000
fpga_compute_runs[2].frame_interval_cycles,2400
fpga_compute_runs[2].effective_frame_interval_cycles,2457.6
fpga_compute_runs[2].sustained_frame_ms,0.012288
fpga_compute_runs[2].sustained_fps,81380.20833333333
fpga_compute_runs[2].output_crc32,2656445203
fpga_compute_runs[3].run,4
fpga_compute_runs[3].frames,1000
fpga_compute_runs[3].measurement,routed_rtl_projection
fpga_compute_runs[3].core_clock_hz,200000000
fpga_compute_runs[3].frame_interval_cycles,2400
fpga_compute_runs[3].effective_frame_interval_cycles,2457.6
fpga_compute_runs[3].sustained_frame_ms,0.012288
fpga_compute_runs[3].sustained_fps,81380.20833333333
fpga_compute_runs[3].output_crc32,2656445203
fpga_compute_runs[4].run,5
fpga_compute_runs[4].frames,1000
fpga_compute_runs[4].measurement,routed_rtl_projection
fpga_compute_runs[4].core_clock_hz,200000000
fpga_compute_runs[4].frame_interval_cycles,2400
fpga_compute_runs[4].effective_frame_interval_cycles,2457.6
fpga_compute_runs[4].sustained_frame_ms,0.012288
fpga_compute_runs[4].sustained_fps,81380.20833333333
fpga_compute_runs[4].output_crc32,2656445203
comparison.opencv_median_ms,0.070253125
comparison.fpga_median_frame_ms,0.012288
comparison.throughput_ratio,5.717213948567708
comparison.required_ratio,1.05
comparison.bit_exact_crc_match,True
comparison.evidence_kind,routed_rtl_projection
comparison.crc_evidence,self-checking RTL testbench; FPGA readback pending
